TIME,THERMOMETER_EXTERNAL,THERMOMETER23,HEATER23,SETPOINT23,THERMOMETER41,HEATER41,SETPOINT41,THERMOMETER31,HEATER31,SETPOINT31,THERMOMETER21,HEATER21,SETPOINT21,THERMOMETER11,HEATER11,SETPOINT11,THERMOMETER42,HEATER42,SETPOINT42,THERMOMETER32,HEATER32,SETPOINT32,THERMOMETER22,HEATER22,SETPOINT22,THERMOMETER12,HEATER12,SETPOINT12,THERMOMETER43,HEATER43,SETPOINT43,THERMOMETER33,HEATER33,SETPOINT33,THERMOMETER13,HEATER13,SETPOINT13,THERMOMETER44,HEATER44,SETPOINT44,THERMOMETER34,HEATER34,SETPOINT34,THERMOMETER24,HEATER24,SETPOINT24,THERMOMETER14,HEATER14,SETPOINT14
100,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
110,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
120,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
130,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
140,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
150,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
160,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
170,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
180,4.9229684,12.201832,10,18.0,11.916902,10,16.0,9.061537,10,20.0,11.924851,10,20.0,8.712814,10,20.0,12.183427,10,20.0,9.562654,10,20.0,12.225713,10,20.0,9.103248,10,20.0,12.183427,10,20.0,9.562654,10,20.0,9.103247,10,20.0,11.9169,10,20.0,9.061536,10,20.0,11.924851,10,20.0,8.712815,10,20.0
190,7.287071,14.67276,10,18.0,14.265691,10,16.0,12.771558,10,20.0,14.312866,10,20.0,12.277896,10,20.0,14.604739,10,20.0,13.521353,10,20.0,14.802203,10,20.0,13.086238,10,20.0,14.60474,10,20.0,13.521341,10,20.0,13.086234,10,20.0,14.265691,10,20.0,12.771558,10,20.0,14.31285,10,20.0,12.277897,10,20.0
